stable_id	Mass	pI	Charge	NumResidues	CAI
SPAC13F5.04c	42304.77	6.0926	-3.0	389	0.323
SPAC8C9.14	60045.78	6.2321	-3.0	539	0.401
SPCC736.04c	42621.32	6.1885	-3.0	375	0.575
SPBC12C2.04	43031.84	5.8927	-3.0	384	0.591
SPBC16G5.17	65114.43	6.1664	-3.0	560	0.367
SPAC4D7.05	36811.24	6.0042	-3.0	328	0.584
SPBC12C2.03c	63976.87	6.2637	-3.0	571	0.493
SPAC22A12.07c	101335.27	6.3371	-3.0	893	0.481
SPBPB21E7.01c	47867.46	5.7954	-3.0	440	0.434
SPAC3F10.09	29345.56	5.6503	-3.0	264	0.372
SPAC6F12.05c	64235.66	6.2336	-3.0	569	0.412
SPAC6F12.08c	68592.84	6.2726	-3.0	584	0.412
SPBC947.12	53245.50	6.0549	-3.0	457	0.431
SPCC70.07c	24249.63	5.4103	-3.0	210	0.399
SPAC10F6.06	27459.24	5.4247	-3.0	257	0.582
SPCC1840.04	46626.79	5.9763	-3.0	425	0.420
SPAC31G5.15	108212.79	6.1589	-3.0	967	0.397
SPCC24B10.19c	56098.05	5.8479	-3.0	493	0.335
SPBC365.20c	24500.59	5.9762	-3.0	220	0.379
SPCC970.01	100263.63	6.1236	-3.5	877	0.375
SPBC20F10.10	27936.60	5.7817	-3.5	243	0.417
SPBC6B1.05c	73362.41	6.1324	-3.5	649	0.355
SPBC31E1.02c	98358.75	6.0406	-3.5	899	0.443
SPAC4D7.08c	59831.96	6.1294	-3.5	533	0.546
SPCPJ732.02c	61683.19	6.0043	-3.5	555	0.414
SPCC74.04	60155.93	5.4150	-3.5	557	0.591
SPAC23C4.02	67015.43	6.0455	-3.5	601	0.443
SPAC11D3.03c	34052.46	5.9471	-3.5	302	0.392
SPBC3B9.08c	17267.46	5.2859	-3.5	147	0.409
SPAC19G12.04	20890.40	5.2289	-3.5	191	0.351
SPBC3B8.08	17185.68	4.9886	-3.5	153	0.386
SPBPB21E7.07	32228.64	5.1506	-3.5	296	0.396
SPAC7D4.07c	11296.95	4.5996	-3.5	103	0.697
SPCC285.08	27097.66	5.2341	-3.5	240	0.384
SPAC3H8.07c	19445.21	4.9599	-3.5	169	0.380
SPCC965.03	32219.42	5.3437	-3.5	285	0.479
SPBC4B4.12c	12822.43	4.7362	-3.5	110	0.372
SPBC582.07c	46680.36	5.5716	-3.5	409	0.476
SPBC4F6.16c	54625.79	5.9824	-3.5	467	0.465
SPCC1259.03	13115.69	4.8378	-3.5	119	0.436
SPAC2E1P5.05	59134.66	6.0935	-3.5	524	0.392
SPCC576.03c	21191.11	5.2972	-3.5	192	0.801
SPAC23H4.18c	12724.40	5.1502	-3.5	107	0.565
SPBC11B10.06	23525.29	5.7545	-3.5	209	0.446
SPCC16A11.15c	12997.41	4.9540	-3.5	117	0.500
SPAC3C7.09	49597.99	5.5888	-3.5	429	0.441
SPBC1709.01	105579.23	6.2556	-3.5	926	0.422
SPBC29B5.02c	89192.37	5.9864	-3.5	785	0.554
SPAC890.04c	48334.28	6.0530	-3.5	440	0.421
SPBC354.03	42980.28	5.9614	-3.5	380	0.386
SPBC36.08c	21828.59	5.5738	-3.5	191	0.423
SPAC57A7.11	148534.21	6.3484	-3.5	1313	0.398
SPCC285.11	48670.73	5.7771	-3.5	427	0.444
SPAC17G6.05c	86622.20	6.1071	-3.5	775	0.444
SPAC6G10.03c	48720.24	5.9929	-3.5	428	0.401
SPBC660.11	38002.96	5.2671	-3.5	349	0.540
SPAC16.01	22253.39	4.9187	-3.5	200	0.342
SPAC17A2.04c	40531.00	5.9800	-3.5	358	0.430
SPBC530.09c	33404.07	5.3364	-3.5	296	0.359
SPAC222.12c	56876.07	5.7849	-3.5	525	0.582
SPCC1682.06	26697.67	5.3205	-3.5	238	0.358
SPCC1795.02c	45108.39	5.8027	-3.5	412	0.511
SPCC550.15c	52250.72	6.1744	-3.5	463	0.460
SPAC1002.19	49034.77	6.0700	-3.5	439	0.795
SPAC139.04c	48973.64	5.8872	-3.5	433	0.453
SPAC24H6.12c	48942.15	5.5119	-3.5	444	0.368
SPAC1039.07c	48445.62	5.9728	-3.5	448	0.417
SPAC31G5.05c	25205.33	5.6141	-3.5	228	0.481
SPAC11D3.01c	8772.49	5.1631	-3.5	79	0.665
SPBC30D10.03c	45805.54	5.8647	-3.5	405	0.404
SPCC757.03c	26743.37	5.3490	-3.5	244	0.397
SPBC3H7.07c	32411.28	5.0806	-3.5	298	0.431
SPCC895.04c	36371.39	5.7025	-3.5	319	0.409
SPAC4F8.01	23928.12	5.0865	-3.5	210	0.349
SPCC191.05c	22924.20	5.1276	-3.5	211	0.355
SPAC1556.04c	14892.01	4.7382	-3.5	133	0.413
SPCC736.07c	78259.10	4.7149	-30.0	699	0.385
SPBP8B7.19	116451.01	4.8990	-30.0	1019	0.411
SPBC2A9.04c	80385.05	4.6594	-30.0	741	0.400
SPAC20H4.01	73697.45	4.5206	-30.0	666	0.391
SPAC22G7.05	69523.80	4.6640	-30.5	598	0.433
SPCC18.01c	116771.68	4.3486	-30.5	1131	0.392
SPCC24B10.13	15856.93	3.6283	-30.5	140	0.476
SPCC1183.07	187524.06	5.1400	-30.5	1690	0.468
SPAC1142.01	75015.21	4.5774	-30.5	656	0.411
SPAC3H1.02c	117422.20	4.7164	-31.0	1036	0.420
SPAC1952.07	36527.82	4.0122	-31.0	323	0.367
SPBC1198.07c	48876.82	3.7911	-31.0	442	0.486
SPCC1450.09c	67042.95	4.0756	-31.0	623	0.496
SPBC16C6.08c	24307.50	4.1147	-31.0	214	0.538
SPAC4H3.14c	39799.81	4.3451	-31.0	345	0.423
SPBC1711.07	53834.32	4.3808	-31.5	480	0.509
SPCC4B3.07	44449.61	4.1116	-31.5	393	0.545
SPBC27.03	71463.38	4.5689	-32.0	622	0.436
SPAC25H1.08c	43431.63	4.1055	-32.0	399	0.480
SPCC622.19	52740.81	4.3448	-32.0	473	0.466
SPAC14C4.09	46974.34	3.8524	-32.0	424	0.428
SPCC1450.03	27073.03	3.9553	-32.0	240	0.458
SPAC1F5.02	54880.18	4.2594	-32.0	492	0.546
SPBC15D4.05	46314.26	4.2172	-32.0	411	0.402
SPAC8E11.05c	38200.16	4.1971	-32.0	338	0.419
SPAC1565.08	90125.03	4.6136	-32.0	815	0.551
SPBC83.04	15785.93	3.5646	-32.0	136	0.502
SPBPJ4664.06	165468.83	5.0048	-32.5	1448	0.436
SPBC16D10.01c	38107.94	4.1379	-32.5	336	0.419
SPAC926.04c	80596.36	4.5992	-32.5	704	0.805
SPCC63.02c	63205.87	4.0863	-33.0	564	0.522
SPBP19A11.03c	97998.76	4.6397	-33.0	891	0.469
SPAC23C4.19	109013.95	4.7016	-33.0	990	0.430
SPBC8D2.13	52392.98	4.2518	-33.0	451	0.409
SPBC776.13	131324.07	4.9273	-33.0	1158	0.410
SPCC790.02	103719.61	4.7139	-33.5	900	0.417
SPAC57A7.06	105060.09	4.8378	-33.5	929	0.422
SPAC23D3.06c	145776.91	4.7369	-33.5	1325	0.416
SPBP8B7.09c	110114.17	4.4798	-34.0	978	0.410
SPCC1919.05	157875.56	5.0189	-34.0	1389	0.418
SPCC417.07c	128469.08	4.8480	-34.0	1115	0.399
SPCC338.17c	67854.06	4.3363	-34.0	628	0.444
SPCC1281.01	272121.71	5.4557	-34.0	2410	0.487
SPAC1952.06c	64589.70	4.3885	-34.0	564	0.397
SPCC188.09c	62878.06	3.7779	-34.0	609	0.476
SPAC15A10.16	154325.69	4.9359	-34.0	1385	0.382
SPAC6G9.06c	140763.69	4.9610	-34.5	1208	0.420
SPBC428.01c	93263.18	4.5958	-34.5	813	0.426
SPBC17D11.07c	107276.44	4.6817	-34.5	965	0.456
SPBC36B7.08c	28637.52	4.0142	-34.5	244	0.436
SPAC3C7.12	52607.13	4.3023	-35.0	461	0.449
SPCC364.06	44347.63	4.2568	-35.0	393	0.608
SPAC6G10.09	92889.60	4.5737	-35.0	808	0.494
SPCC1235.01	69695.61	3.8093	-35.0	658	0.327
SPCC1322.09	50886.32	4.2551	-35.0	455	0.424
SPAC328.06	130297.25	4.8805	-35.0	1141	0.427
SPBC11G11.07	108173.23	4.5831	-35.0	955	0.422
SPBC2D10.11c	43370.92	4.1696	-35.0	379	0.459
SPBC6B1.06c	86782.81	4.5265	-35.5	775	0.417
SPCC548.05c	52715.04	4.2365	-36.0	468	0.408
SPCC663.15c	77086.57	4.5396	-36.0	678	0.459
SPBC21C3.14c	94028.32	4.6297	-36.5	841	0.447
SPBC28F2.10c	62407.31	4.3142	-36.5	551	0.407
SPAC1039.11c	112714.05	4.5143	-36.5	995	0.427
SPBC3E7.08c	126328.53	4.7339	-36.5	1112	0.393
SPCC1235.10c	85853.64	4.4671	-37.0	752	0.423
SPBC3B8.09	68021.25	4.4777	-38.0	597	0.458
SPCC1020.02	153593.20	4.9230	-38.0	1364	0.403
SPCC962.02c	112579.72	4.7469	-38.0	997	0.398
SPBC31E1.01c	184308.24	4.8726	-38.0	1646	0.384
SPAC22G7.02	111468.09	4.4300	-38.5	990	0.385
SPCC757.12	68087.05	4.1152	-38.5	625	0.493
SPBC30B4.02c	79052.29	4.5276	-38.5	695	0.426
SPBC21D10.06c	98663.75	3.9027	-39.0	948	0.414
SPAC30.01c	206800.25	4.9960	-39.0	1822	0.420
SPAC6F6.06c	128334.45	4.3260	-39.5	1155	0.409
SPAC4G9.04c	70383.32	6.0434	-4.0	638	0.392
SPAC922.04	12817.48	4.2986	-4.0	117	0.613
SPAC56F8.05c	31747.79	5.4690	-4.0	286	0.442
SPBC14F5.11c	67001.68	6.1845	-4.0	586	0.384
SPBC17G9.06c	39775.16	5.9244	-4.0	334	0.509
SPAC323.05c	25560.34	4.9608	-4.0	231	0.415
SPAC3A11.11c	36878.43	5.7983	-4.0	334	0.391
SPBC887.17	68563.02	5.5528	-4.0	625	0.484
SPBC1105.04c	59839.87	5.7620	-4.0	522	0.445
SPCC18B5.01c	171750.58	6.3249	-4.0	1530	0.502
SPBC2G2.10c	27801.40	5.1209	-4.0	248	0.404
SPAC6B12.13	11658.69	4.9383	-4.0	104	0.318
SPAPJ760.03c	17398.38	4.5069	-4.0	166	0.553
SPAC3G9.08	31275.51	5.6247	-4.0	283	0.407
SPAC23H4.12	39138.26	5.7035	-4.0	337	0.386
SPAC15F9.03c	14077.76	4.5517	-4.0	123	0.553
SPBC8D2.06	122915.64	6.2441	-4.0	1064	0.608
SPAC31A2.05c	180725.08	6.2985	-4.0	1587	0.383
SPAC821.04c	65771.02	6.0265	-4.0	578	0.421
SPAC343.04c	58404.18	6.0968	-4.0	507	0.399
SPAC25B8.12c	33849.97	5.4646	-4.0	303	0.797
SPBC1773.10c	63869.88	5.9111	-4.0	568	0.529
SPAC1296.05c	29388.98	5.3407	-4.0	258	0.425
SPBC146.08c	14707.58	4.6885	-4.0	127	0.391
SPBC1105.02c	46292.61	5.9456	-4.0	418	0.708
SPCC594.02c	54866.95	6.0229	-4.0	489	0.473
SPAC56E4.04c	256842.74	6.3910	-4.0	2280	0.534
SPBP26C9.03c	66099.21	6.0351	-4.0	584	0.538
SPBC19G7.08c	53710.88	5.9326	-4.0	483	0.363
SPAC343.05	68806.08	6.0547	-4.0	619	0.596
SPBC3E7.12c	49568.50	6.0250	-4.0	456	0.417
SPBC336.03	112729.71	6.1899	-4.0	987	0.471
SPCC18.15	37039.95	6.0694	-4.0	326	0.499
SPAC3F10.19	11834.12	4.8571	-4.0	102	0.698
SPBC646.12c	87540.27	6.1581	-4.0	766	0.452
SPAC212.02	14926.94	4.7971	-4.0	136	0.315
SPBC800.12c	15303.67	4.7446	-4.0	137	0.448
SPAC3A11.03	33050.85	5.1631	-4.0	289	0.340
SPCC794.11c	51751.36	5.5419	-4.0	476	0.460
SPAC19D5.06c	40750.74	5.6726	-4.0	352	0.453
SPBC359.02	41147.54	5.6650	-4.0	370	0.385
SPAC16A10.02	15448.03	5.1317	-4.0	136	0.392
SPAC227.12	51746.38	5.9636	-4.0	462	0.394
SPAC1002.07c	19148.91	4.7231	-4.0	168	0.385
SPBC16H5.08c	69212.92	6.0697	-4.0	618	0.583
SPAC16E8.14c	24387.87	5.0897	-4.0	219	0.400
SPAC1002.15c	24906.02	5.0713	-4.0	216	0.399
SPCC613.11c	29626.05	5.1221	-4.0	254	0.370
SPBP22H7.06	26263.87	5.7579	-4.0	230	0.429
SPBC18A7.01	50594.28	5.7061	-4.0	451	0.365
SPAC11E3.03	30418.33	5.4979	-4.0	261	0.408
SPAC6B12.19	9411.57	4.6633	-4.0	80	0.413
SPAC1142.03c	82176.84	6.1235	-4.0	722	0.394
SPCC965.14c	17882.25	5.0213	-4.0	162	0.431
SPBC23E6.03c	32427.18	5.5931	-4.0	286	0.475
SPCC11E10.02c	43206.06	5.8128	-4.0	380	0.402
SPBC17A3.03c	32291.22	5.9097	-4.0	287	0.428
SPAC5H10.11	37563.37	5.5985	-4.0	329	0.406
SPAC644.10	13104.85	4.5855	-4.0	116	0.472
SPBC23G7.14	15790.94	4.7999	-4.0	131	0.415
SPBP23A10.05	44254.51	5.8171	-4.0	395	0.375
SPBC887.01	20936.42	5.5906	-4.0	178	0.439
SPAC328.03	58493.47	6.0931	-4.0	513	0.538
SPAC1039.06	45647.36	5.8212	-4.0	415	0.490
SPAC13A11.03	24224.36	5.2078	-4.0	210	0.470
SPCC417.12	61253.63	5.8838	-4.0	539	0.470
SPBC106.15	27108.04	5.5892	-4.5	229	0.539
SPAC1B2.02c	46909.95	5.3195	-4.5	421	0.373
SPAC15A10.13	71632.70	5.8799	-4.5	637	0.362
SPBC119.03	30266.84	5.4373	-4.5	266	0.471
SPCC794.12c	62534.88	5.8462	-4.5	565	0.584
SPAC5D6.04	49575.81	4.9301	-4.5	452	0.464
SPAC5H10.12c	43688.73	5.7870	-4.5	371	0.465
SPBC405.05	16892.04	4.7907	-4.5	143	0.341
SPAC607.07c	15804.64	4.5099	-4.5	143	0.378
SPCC23B6.05c	11793.36	4.6511	-4.5	104	0.446
SPAC29E6.04	23713.96	5.3983	-4.5	205	0.390
SPBC646.05c	53321.30	5.5646	-4.5	460	0.510
SPCPB16A4.05c	31329.95	6.0920	-4.5	286	0.522
SPAC1805.08	12254.01	4.6744	-4.5	111	0.549
SPAC22A12.05	12815.23	4.7091	-4.5	109	0.538
SPAC17H9.14c	40691.52	5.5175	-4.5	359	0.518
SPAC14C4.06c	33929.43	5.2781	-4.5	307	0.411
SPCC613.12c	71536.34	6.0686	-4.5	638	0.373
SPAPB1A10.14	27620.25	5.2634	-4.5	243	0.540
SPBC1773.07c	24149.90	5.1570	-4.5	215	0.576
SPAC1952.12c	23839.26	4.9683	-4.5	205	0.368
SPBPJ4664.02	394860.91	5.7771	-4.5	3971	0.337
SPCC970.11c	37458.53	5.3862	-4.5	333	0.396
SPAC25A8.01c	104504.12	6.0102	-4.5	922	0.452
SPAC18G6.03	23860.86	4.9505	-4.5	214	0.520
SPAC13D6.05	26671.87	5.0610	-4.5	234	0.363
SPCC14G10.02	179229.69	6.2700	-4.5	1568	0.404
SPCC24B10.06	16714.05	4.4219	-4.5	156	0.467
SPAC4C5.04	34703.03	5.0884	-4.5	307	0.376
SPCC162.02c	109847.41	6.1700	-4.5	981	0.407
SPAC25G10.01	33564.35	5.7931	-4.5	297	0.369
SPBC27B12.12c	89396.54	6.1933	-4.5	803	0.456
SPCC663.03	149632.38	6.1897	-4.5	1362	0.479
SPCC18B5.10c	35037.49	5.2109	-4.5	309	0.364
SPBC12C2.06	56305.02	5.4846	-4.5	503	0.458
SPBC19G7.06	50907.18	5.9058	-4.5	457	0.425
SPAC2F3.16	49904.60	6.0990	-4.5	425	0.474
SPBP4H10.14c	33938.73	5.5683	-4.5	308	0.456
SPAC23C4.09c	15041.89	4.8970	-4.5	131	0.432
SPAC3H5.11	44897.43	5.9799	-4.5	393	0.423
SPCC965.12	47420.86	5.9167	-4.5	416	0.386
SPCC1620.02	41197.09	5.0554	-4.5	368	0.380
SPAC14C4.02c	124261.14	6.1121	-4.5	1076	0.369
SPAC13G7.01c	82818.52	5.9640	-4.5	721	0.405
SPAC22H12.02	27638.38	5.4188	-4.5	241	0.400
SPBC725.16	72441.51	6.1497	-4.5	637	0.442
SPBC12C2.07c	33149.85	5.5885	-4.5	298	0.695
SPAC1F3.04c	32606.29	5.6264	-4.5	288	0.419
SPBC215.10	33261.33	5.2440	-4.5	302	0.443
SPAC24C9.03	42755.34	5.2872	-4.5	393	0.472
SPBC17D1.04	28714.24	5.1194	-4.5	250	0.377
SPAC1039.03	37364.57	5.5795	-4.5	341	0.548
SPAC11E3.06	44423.03	5.8053	-4.5	398	0.344
SPBC8D2.20c	132499.04	6.1506	-4.5	1224	0.464
SPAC25B8.02	30752.53	5.2263	-4.5	267	0.446
SPAC17G6.04c	42188.79	5.5828	-4.5	382	0.414
SPBP26C9.02c	35720.87	5.6272	-4.5	323	0.497
SPBC1711.08	37419.90	5.4277	-4.5	336	0.544
SPAC186.09	62615.06	6.0023	-4.5	572	0.401
SPBC409.08	59797.94	5.1394	-4.5	539	0.667
SPBC1105.09	19105.79	5.0642	-4.5	167	0.434
SPAC23C4.03	56520.84	5.8421	-4.5	488	0.385
SPBC18E5.01	38220.66	6.0408	-4.5	342	0.464
SPAC19G12.03	36206.80	5.4643	-4.5	320	0.518
SPAC1851.04c	119589.15	6.1715	-4.5	1052	0.396
SPBC28E12.02	75492.40	6.0377	-4.5	663	0.379
SPAC11D3.07c	73419.11	5.9575	-4.5	637	0.408
SPBC1921.06c	43834.13	5.4882	-4.5	378	0.431
SPAC22E12.01	42300.27	5.0098	-4.5	374	0.450
SPBC776.02c	37635.96	5.4430	-4.5	327	0.466
SPAPB1A10.09	83172.94	6.0523	-4.5	731	0.397
SPBC1734.01c	77754.07	4.5313	-40.5	682	0.469
SPAC19B12.02c	58115.60	3.7999	-40.5	542	0.696
SPBC83.01	91118.63	4.4301	-41.0	829	0.403
SPAC26A3.05	190018.44	4.8747	-41.0	1666	0.579
SPBC3B9.16c	129782.99	4.6287	-41.0	1136	0.406
SPCC306.03c	83254.40	4.4877	-41.5	742	0.411
SPAC29E6.03c	121576.20	4.6694	-42.0	1067	0.425
SPBC609.05	57457.03	4.1551	-42.0	512	0.421
SPAC19B12.05c	81964.61	4.4547	-42.5	723	0.409
SPBC354.09c	88965.94	4.3925	-42.5	794	0.396
SPAC1B1.03c	94747.14	4.2425	-43.0	863	0.450
SPCC74.06	266850.00	5.1712	-43.5	2344	0.415
SPBC947.04	100885.96	4.1694	-43.5	973	0.420
SPAC20G8.06	237134.58	4.9363	-44.5	2100	0.432
SPBC14C8.17c	58418.18	4.1109	-45.0	526	0.428
SPAPB24D3.10c	108720.07	4.2218	-45.5	969	0.551
SPAC1805.14	50946.72	4.1763	-45.5	452	0.424
SPAC4A8.16c	104367.42	4.5887	-45.5	918	0.538
SPAP11E10.02c	109142.80	3.6126	-46.5	1082	0.425
SPAC19G12.10c	114237.06	5.2461	-46.5	1002	0.715
SPBC1685.14c	92427.31	4.4488	-47.0	801	0.397
SPBC13E7.08c	48733.34	4.1533	-47.5	429	0.416
SPBC800.10c	120541.21	4.4690	-48.0	1116	0.426
SPCC188.03	100491.38	4.4654	-48.0	875	0.414
SPAC688.07c	113938.69	4.5660	-48.0	1038	0.422
SPBC16E9.02c	63725.84	4.3293	-48.0	569	0.450
SPAC589.02c	139261.28	4.5371	-49.5	1225	0.414
SPBC25H2.11c	112901.49	4.5494	-49.5	992	0.403
SPBC428.06c	27076.35	5.1810	-5.0	240	0.416
SPBC28E12.01c	15627.55	5.0086	-5.0	135	0.378
SPBC6B1.12c	12312.95	4.4464	-5.0	108	0.415
SPCC550.12	45881.50	5.8813	-5.0	401	0.361
SPBC11G11.05	28010.02	5.2045	-5.0	251	0.392
SPAC9G1.07	46357.41	5.1981	-5.0	418	0.379
SPAC1D4.02c	37834.52	5.7488	-5.0	345	0.427
SPCC1919.07	24048.53	5.2567	-5.0	206	0.416
SPAC22H12.05c	82589.21	5.7523	-5.0	728	0.376
SPCC550.05	27051.73	5.5321	-5.0	232	0.417
SPBC1709.14	39240.75	5.6570	-5.0	333	0.432
SPAC926.03	19997.27	4.6954	-5.0	184	0.429
SPBC13A2.04c	68499.45	5.2231	-5.0	618	0.634
SPAC12B10.16c	57153.22	5.7751	-5.0	509	0.459
SPAC6G10.04c	30110.85	5.0921	-5.0	272	0.443
SPAC222.08c	25901.70	5.1321	-5.0	234	0.514
SPCC338.14	36708.64	5.0409	-5.0	340	0.612
SPAC25B8.14	34515.34	5.2442	-5.0	303	0.372
SPAC869.07c	49365.91	5.6228	-5.0	436	0.424
SPBC2G2.06c	76534.98	5.7457	-5.0	677	0.400
SPAC1296.01c	58916.06	5.8981	-5.0	542	0.386
SPCC306.10	35331.11	5.1722	-5.0	313	0.387
SPBC23E6.09	121516.63	6.2179	-5.0	1102	0.468
SPCC1393.04	27148.72	5.2304	-5.0	233	0.404
SPCC1450.13c	22861.14	5.0550	-5.0	208	0.519
SPBC1347.04	39803.26	5.2747	-5.0	347	0.358
SPAC16C9.01c	40050.51	5.4553	-5.0	361	0.385
SPCC31H12.03c	26781.20	5.0362	-5.0	245	0.457
SPCC1906.04	29185.47	5.0158	-5.0	258	0.388
SPBC409.04c	30195.18	5.4457	-5.0	259	0.386
SPAC22H10.07	60043.01	5.6121	-5.0	536	0.391
SPBC2D10.05	53702.05	6.0777	-5.0	464	0.464
SPAC24C9.14	35668.34	5.1091	-5.0	329	0.396
SPAC8E11.03c	36408.57	5.2879	-5.0	332	0.344
SPCC736.08	67172.83	5.8006	-5.0	613	0.347
SPBC16G5.02c	33250.06	5.1666	-5.0	318	0.386
SPAC23A1.15c	26289.10	4.8954	-5.0	226	0.357
SPCC1450.06c	18314.06	4.7884	-5.0	166	0.450
SPBC887.08	14253.03	4.6929	-5.0	124	0.415
SPBC839.03c	28915.76	4.9060	-5.0	251	0.402
SPBC16E9.05	42867.33	5.6484	-5.0	378	0.581
SPAC1006.09	163273.04	6.3230	-5.0	1436	0.410
SPAC3G6.07	14668.52	4.5748	-5.0	125	0.430
SPCC1223.04c	44079.78	5.6217	-5.0	381	0.374
SPAC6B12.15	34851.02	5.5416	-5.0	314	0.741
SPBC29A10.08	50614.27	5.1244	-5.0	459	0.739
SPAC10F6.04	38707.49	5.5872	-5.0	351	0.403
SPBC365.06	12934.54	4.5850	-5.0	117	0.504
SPBC1734.02c	42350.37	5.3041	-5.0	372	0.460
SPCC1393.08	60351.51	5.5407	-5.0	557	0.468
SPAC1556.07	29223.14	5.0504	-5.0	257	0.544
SPAC8E11.07c	13531.12	4.8635	-5.0	119	0.428
SPCC1753.04	38747.93	5.4579	-5.0	353	0.554
SPBC1604.17c	54325.55	5.7823	-5.0	467	0.346
SPBC776.18c	36674.29	5.2519	-5.0	318	0.421
SPAC27E2.07	45065.48	5.6261	-5.0	389	0.418
SPAC23C4.08	22501.53	4.9398	-5.0	205	0.419
SPBC1703.15c	67600.32	5.8403	-5.0	592	0.403
SPBC660.07	84603.25	6.0257	-5.0	735	0.458
SPBC14C8.03	47271.26	5.8137	-5.0	426	0.584
SPBCPT2R1.02	13067.58	4.5564	-5.0	119	0.322
SPAC222.17	10254.55	4.4520	-5.0	89	0.354
SPCC16A11.02	85872.28	6.1372	-5.0	777	0.431
SPAC16A10.05c	10522.81	4.4190	-5.0	90	0.446
SPBC8D2.18c	47383.39	5.7810	-5.0	433	0.819
SPBC6B1.03c	30655.56	5.5831	-5.0	272	0.325
SPCC16C4.10	28351.44	5.1712	-5.0	257	0.461
SPAPB17E12.02	26993.78	4.9062	-5.0	235	0.375
SPAC9E9.15	25166.08	5.0201	-5.0	219	0.481
SPAC19B12.12c	26993.78	4.9062	-5.0	235	0.375
SPCC1739.12	35259.36	5.2346	-5.5	305	0.459
SPAP27G11.09c	36524.50	5.3343	-5.5	326	0.415
SPAPB1A10.05	33065.51	5.6911	-5.5	294	0.432
SPBC428.12c	12915.57	4.5909	-5.5	116	0.394
SPBC1773.14	51738.21	5.6676	-5.5	461	0.466
SPACUNK4.16c	106817.93	6.2000	-5.5	944	0.498
SPAPB8E5.07c	130530.45	6.0367	-5.5	1163	0.423
SPBC1734.08	42497.31	5.1479	-5.5	373	0.387
SPBC29A3.02c	46182.81	5.5103	-5.5	417	0.509
SPBC1683.06c	33666.96	5.1541	-5.5	310	0.370
SPAC15E1.05c	41556.61	5.2868	-5.5	365	0.381
SPBC36.06c	40946.25	5.0686	-5.5	351	0.403
SPAC24B11.06c	40222.47	5.4280	-5.5	349	0.474
SPAC29B12.11c	19704.31	4.6652	-5.5	174	0.425
SPBC409.17c	25747.37	4.6847	-5.5	222	0.434
SPAC17H9.06c	68796.54	5.8526	-5.5	601	0.371
SPBC1683.04	93169.19	5.9353	-5.5	832	0.401
SPBC1921.07c	27519.05	5.0922	-5.5	244	0.336
SPAC22G7.09c	44983.22	4.8698	-5.5	425	0.408
SPCC794.01c	53510.15	5.8777	-5.5	475	0.638
SPCC576.10c	43552.98	5.0215	-5.5	389	0.496
SPAC17G8.09	15386.39	4.8270	-5.5	132	0.341
SPCC1442.09	54959.67	5.7997	-5.5	489	0.480
SPBC4F6.05c	42768.15	5.2344	-5.5	384	0.455
SPBC713.04c	95441.10	6.0752	-5.5	854	0.396
SPBC1685.04	37018.26	5.1695	-5.5	325	0.346
SPBC17D1.03c	30029.48	4.8810	-5.5	270	0.429
SPCC5E4.05c	41623.61	5.8478	-5.5	378	0.470
SPAC9E9.03	82782.98	6.0326	-5.5	758	0.634
SPBC4.03c	98068.86	5.8361	-5.5	891	0.426
SPCC550.01c	9212.19	4.6346	-5.5	77	0.447
SPAC1F7.11c	89377.67	6.1090	-5.5	782	0.431
SPBC3B9.18c	13618.27	4.5301	-5.5	120	0.439
SPCC1494.09c	18000.77	4.6653	-5.5	157	0.427
SPAC13C5.06c	20057.97	4.6133	-5.5	177	0.484
SPCC18B5.06	44336.54	5.6428	-5.5	390	0.442
SPCC320.08	56780.09	5.9228	-5.5	505	0.491
SPBC20F10.09	8853.34	4.1948	-5.5	80	0.428
SPCC18.13	47498.11	5.6388	-5.5	421	0.415
SPAC4G9.02	36808.19	5.1346	-5.5	326	0.382
SPCC1919.06c	28441.49	5.1402	-5.5	249	0.395
SPAPB8E5.09	50052.49	5.5578	-5.5	456	0.490
SPAC688.02c	24122.16	4.9087	-5.5	210	0.371
SPBC25H2.05	18785.36	4.7032	-5.5	173	0.764
SPCC1235.06	28868.58	4.8891	-5.5	257	0.422
SPAC18B11.04	22033.03	4.7067	-5.5	190	0.459
SPAC27D7.09c	39744.86	5.0077	-5.5	383	0.515
SPBC21B10.02	16091.87	4.8285	-5.5	141	0.428
SPBC56F2.03	43014.56	5.0310	-5.5	380	0.355
SPAC4H3.08	31336.42	5.0094	-5.5	286	0.443
SPBC3F6.04c	95152.17	6.1483	-5.5	827	0.420
SPBC6B1.10	63132.48	5.8934	-5.5	558	0.399
SPBC25H2.12c	60686.59	5.4517	-5.5	558	0.452
SPAC2H10.02c	23891.20	5.0159	-5.5	213	0.411
SPBC365.10	82364.06	5.9542	-5.5	721	0.410
SPAC23A1.09	13677.38	4.6911	-5.5	121	0.339
SPAC186.03	38748.18	4.8962	-5.5	360	0.443
SPCC1281.08	29937.44	4.9418	-5.5	264	0.408
SPBC1A4.02c	39732.85	5.1929	-5.5	371	0.655
SPBC211.02c	92636.98	6.0619	-5.5	790	0.371
SPAC6B12.18	8568.72	4.3566	-5.5	73	0.444
SPAC4F10.19c	17426.91	4.7236	-5.5	154	0.399
SPAC17C9.05c	31092.71	5.5586	-5.5	273	0.410
SPCC285.14	132875.07	6.1873	-5.5	1150	0.387
